,Gemnr,Gemeente,Meldingen,Zkh opname,BevAant,Meldingen per 100.000,Zkh opname per 100.000
116,392,Haarlem,180,43,162961,110.5,26.4
117,394,Haarlemmermeer,132,45,156039,84.6,28.8
118,1655,Halderberge,33,9,30277,109.0,29.7
119,160,Hardenberg,74,16,60940,121.4,26.3
120,243,Harderwijk,48,11,48429,99.1,22.7
121,523,Hardinxveld-Giessendam,17,1,18295,92.9,5.5
122,72,Harlingen,5,2,15720,31.8,12.7
123,244,Hattem,25,9,12213,204.7,73.7
124,396,Heemskerk,60,19,39188,153.1,48.5
125,397,Heemstede,74,8,27239,271.7,29.4
126,246,Heerde,64,23,18587,344.3,123.7
127,74,Heerenveen,32,10,50494,63.4,19.8
128,398,Heerhugowaard,53,22,57592,92.0,38.2
129,917,Heerlen,151,87,87057,173.4,99.9
130,1658,Heeze-Leende,33,8,16150,204.3,49.5
131,399,Heiloo,24,8,23974,100.1,33.4
132,163,Hellendoorn,36,7,35923,100.2,19.5
133,530,Hellevoetsluis,35,11,40158,87.2,27.4
134,794,Helmond,162,59,92432,175.3,63.8
135,531,Hendrik-Ido-Ambacht,15,5,31204,48.1,16.0
136,164,Hengelo,69,14,81147,85.0,17.3
137,1966,Het Hogeland,18,7,47834,37.6,14.6
138,252,Heumen,36,14,16450,218.8,85.1
139,797,Heusden,65,35,44699,145.4,78.3
140,534,Hillegom,16,5,22208,72.0,22.5
141,798,Hilvarenbeek,21,6,15514,135.4,38.7
142,402,Hilversum,45,18,90883,49.5,19.8
143,1963,Hoeksche Waard,116,58,87461,132.6,66.3
144,1735,Hof van Twente,32,13,35013,91.4,37.1
145,1911,Hollands Kroon,42,26,48434,86.7,53.7
146,118,Hoogeveen,27,10,55697,48.5,18.0
147,405,Hoorn,45,22,73232,61.4,30.0
148,1507,Horst aan de Maas,62,36,42433,146.1,84.8
149,321,Houten,71,17,50146,141.6,33.9
150,406,Huizen,32,15,41273,77.5,36.3
151,677,Hulst,17,6,27556,61.7,21.8
152,353,IJsselstein,53,26,34110,155.4,76.2
153,1884,Kaag en Braassem,12,5,27300,44.0,18.3
154,166,Kampen,142,46,54340,261.3,84.7
155,678,Kapelle,10,1,12691,78.8,7.9
156,537,Katwijk,52,16,65754,79.1,24.3
157,928,Kerkrade,69,42,45744,150.8,91.8
158,1598,Koggenland,19,6,22752,83.5,26.4
159,542,Krimpen aan den IJssel,31,5,29533,105.0,16.9
160,1931,Krimpenerwaard,71,34,56319,126.1,60.4
161,1659,Laarbeek,65,27,22530,288.5,119.8
162,1685,Landerd,74,28,15730,470.4,178.0
163,882,Landgraaf,64,33,37457,170.9,88.1
164,415,Landsmeer,16,3,11492,139.2,26.1
165,416,Langedijk,28,15,28157,99.4,53.3
166,1621,Lansingerland,93,26,62396,149.0,41.7
167,417,Laren,17,8,11274,150.8,71.0
168,80,Leeuwarden,42,29,124058,33.9,23.4
169,546,Leiden,73,27,125174,58.3,21.6
170,547,Leiderdorp,13,8,27059,48.0,29.6
171,1916,Leidschendam-Voorburg,43,16,76553,56.2,20.9
172,995,Lelystad,55,34,78619,70.0,43.2
173,1640,Leudal,86,50,35896,239.6,139.3
174,327,Leusden,29,7,30399,95.4,23.0
175,1705,Lingewaard,43,21,46606,92.3,45.1
176,553,Lisse,12,5,22957,52.3,21.8
177,262,Lochem,21,5,33730,62.3,14.8
178,809,Loon op Zand,37,20,23407,158.1,85.4
179,331,Lopik,25,15,14471,172.8,103.7
180,24,Loppersum,2,0,9533,21.0,0.0
181,168,Losser,11,6,22685,48.5,26.4
182,263,Maasdriel,19,14,25034,75.9,55.9
183,1641,Maasgouw,41,21,23960,171.1,87.6
184,556,Maassluis,27,13,33216,81.3,39.1
185,935,Maastricht,317,112,121558,260.8,92.1
186,420,Medemblik,36,12,45104,79.8,26.6
187,938,Meerssen,35,11,18832,185.9,58.4
188,1948,Meierijstad,329,155,81197,405.2,190.9
189,119,Meppel,21,5,33902,61.9,14.7
190,687,Middelburg,29,13,48810,59.4,26.6
191,1842,Midden-Delfland,11,3,19344,56.9,15.5
192,1731,Midden-Drenthe,13,6,33182,39.2,18.1
193,1952,Midden-Groningen,10,4,60804,16.4,6.6
194,815,Mill en Sint Hubert,14,7,10941,128.0,64.0
195,1709,Moerdijk,28,7,37136,75.4,18.8
196,1978,Molenlanden,51,15,43931,116.1,34.1
197,1955,Montferland,22,6,36009,61.1,16.7
198,335,Montfoort,28,12,13920,201.1,86.2
199,944,Mook en Middelaar,17,4,7847,216.6,51.0
200,1740,Neder-Betuwe,51,30,24342,209.5,123.2
201,946,Nederweert,37,25,17022,217.4,146.9
202,356,Nieuwegein,58,26,63461,91.4,41.0
203,569,Nieuwkoop,27,7,28809,93.7,24.3
204,267,Nijkerk,37,18,43176,85.7,41.7
205,268,Nijmegen,319,100,177698,179.5,56.3
206,1930,Nissewaard,77,27,85237,90.3,31.7
207,1970,Noardeast-Fryslân,7,4,45251,15.5,8.8
208,1695,Noord-Beveland,4,1,7395,54.1,13.5
209,1699,Noordenveld,8,1,31242,25.6,3.2
210,171,Noordoostpolder,19,8,47262,40.2,16.9
211,575,Noordwijk,24,11,43528,55.1,25.3
212,820,"Nuenen, Gerwen en Nederwetten",22,12,23379,94.1,51.3
213,302,Nunspeet,84,24,27845,301.7,86.2
214,579,Oegstgeest,21,5,24843,84.5,20.1
215,823,Oirschot,30,9,18723,160.2,48.1
216,824,Oisterwijk,38,14,26241,144.8,53.4
217,1895,Oldambt,4,1,38213,10.5,2.6
218,269,Oldebroek,59,17,23645,249.5,71.9
219,173,Oldenzaal,29,13,31832,91.1,40.8
220,1773,Olst-Wijhe,24,9,18251,131.5,49.3
221,175,Ommen,26,7,18007,144.4,38.9
222,1586,Oost Gelre,25,4,29623,84.4,13.5
223,826,Oosterhout,60,27,55990,107.2,48.2
224,85,Ooststellingwerf,2,1,25472,7.9,3.9
225,431,Oostzaan,17,7,9733,174.7,71.9
226,432,Opmeer,4,1,11837,33.8,8.4
227,86,Opsterland,11,5,29742,37.0,16.8
228,828,Oss,266,107,91932,289.3,116.4
229,1509,Oude IJsselstreek,23,5,39392,58.4,12.7
230,437,Ouder-Amstel,16,4,14029,114.0,28.5
231,589,Oudewater,36,20,10226,352.0,195.6
232,1734,Overbetuwe,78,47,47909,162.8,98.1
233,590,Papendrecht,23,4,32133,71.6,12.4
234,1894,Peel en Maas,197,128,43420,453.7,294.8
235,765,Pekela,4,4,12199,32.8,32.8
236,1926,Pijnacker-Nootdorp,42,15,55329,75.9,27.1
237,439,Purmerend,114,52,81233,140.3,64.0
238,273,Putten,14,2,24113,58.1,8.3
239,177,Raalte,39,20,37709,103.4,53.0
240,703,Reimerswaal,12,4,22728,52.8,17.6
241,274,Renkum,32,12,31404,101.9,38.2
242,339,Renswoude,8,3,5448,146.8,55.1
243,1667,Reusel-De Mierden,13,7,13110,99.2,53.4
244,275,Rheden,49,29,43736,112.0,66.3
245,340,Rhenen,12,3,20125,59.6,14.9
246,597,Ridderkerk,57,27,46204,123.4,58.4
247,1742,Rijssen-Holten,57,18,38178,149.3,47.1
248,603,Rijswijk,37,16,54432,68.0,29.4
249,1669,Roerdalen,32,22,20572,155.6,106.9
250,957,Roermond,73,40,58254,125.3,68.7
251,1674,Roosendaal,78,15,77226,101.0,19.4
252,599,Rotterdam,863,230,651376,132.5,35.3
253,277,Rozendaal,2,1,1705,117.3,58.7
254,840,Rucphen,23,6,22873,100.6,26.2
255,518,s-Gravenhage,440,159,545163,80.7,29.2
256,441,Schagen,43,14,46482,92.5,30.1
257,279,Scherpenzeel,13,2,9880,131.6,20.2
258,606,Schiedam,61,30,78739,77.5,38.1
259,88,Schiermonnikoog,0,0,947,0.0,0.0
260,1676,Schouwen-Duiveland,19,9,33858,56.1,26.6
261,965,Simpelveld,23,15,10552,218.0,142.2
262,1702,Sint Anthonis,45,17,11672,385.5,145.6
263,845,Sint-Michielsgestel,51,20,29203,174.6,68.5
264,1883,Sittard-Geleen,173,76,92422,187.2,82.2
265,610,Sliedrecht,21,5,25217,83.3,19.8
266,1714,Sluis,11,6,23217,47.4,25.8
267,90,Smallingerland,16,6,56154,28.5,10.7
268,342,Soest,53,17,46607,113.7,36.5
269,847,Someren,46,20,19376,237.4,103.2
270,848,Son en Breugel,34,22,17321,196.3,127.0
271,37,Stadskanaal,2,1,31688,6.3,3.2
272,180,Staphorst,25,4,17144,145.8,23.3
273,532,Stede Broec,30,15,21734,138.0,69.0
274,851,Steenbergen,31,9,24501,126.5,36.7
275,1708,Steenwijkerland,25,10,44139,56.6,22.7
276,971,Stein,51,34,25000,204.0,136.0
277,1904,Stichtse Vecht,54,25,64928,83.2,38.5
278,1900,Súdwest-Fryslân,41,14,89987,45.6,15.6
279,715,Terneuzen,48,16,54438,88.2,29.4
280,93,Terschelling,1,0,4889,20.5,0.0
281,448,Texel,8,3,13573,58.9,22.1
282,1525,Teylingen,26,11,37426,69.5,29.4
283,716,Tholen,77,32,25758,298.9,124.2
284,281,Tiel,46,30,42161,109.1,71.2
285,855,Tilburg,423,150,219800,192.4,68.2
286,183,Tubbergen,50,10,21279,235.0,47.0
287,1700,Twenterand,22,8,33743,65.2,23.7
288,1730,Tynaarlo,29,7,33879,85.6,20.7
289,737,Tytsjerksteradiel,13,4,32046,40.6,12.5
290,856,Uden,193,84,42122,458.2,199.4
291,450,Uitgeest,14,3,13649,102.6,22.0
292,451,Uithoorn,26,12,29466,88.2,40.7
293,184,Urk,28,18,21033,133.1,85.6
294,344,Utrecht,470,140,357694,131.4,39.1
295,1581,Utrechtse Heuvelrug,54,19,49601,108.9,38.3
296,981,Vaals,14,7,10099,138.6,69.3
297,994,Valkenburg aan de Geul,41,13,16360,250.6,79.5
298,858,Valkenswaard,77,10,31200,246.8,32.1
299,47,Veendam,5,1,27387,18.3,3.7
300,345,Veenendaal,54,22,66491,81.2,33.1
301,717,Veere,18,4,21885,82.2,18.3
302,861,Veldhoven,53,17,45458,116.6,37.4
303,453,Velsen,127,21,68660,185.0,30.6
304,983,Venlo,161,101,101797,158.2,99.2
305,984,Venray,58,34,43604,133.0,78.0
306,1961,Vijfheerenlanden,112,20,56816,197.1,35.2
307,622,Vlaardingen,87,23,73445,118.5,31.3
308,96,Vlieland,0,0,1152,0.0,0.0
309,718,Vlissingen,37,8,44365,83.4,18.0
310,986,Voerendaal,21,12,12471,168.4,96.2
311,626,Voorschoten,22,8,25603,85.9,31.2
312,285,Voorst,34,8,24546,138.5,32.6
313,865,Vught,63,32,26554,237.3,120.5
314,1949,Waadhoeke,40,6,46079,86.8,13.0
315,866,Waalre,20,4,17454,114.6,22.9
316,867,Waalwijk,78,19,48620,160.4,39.1
317,627,Waddinxveen,28,9,29293,95.6,30.7
318,289,Wageningen,17,10,39673,42.9,25.2
319,629,Wassenaar,20,6,26214,76.3,22.9
320,852,Waterland,18,11,17422,103.3,63.1
321,988,Weert,83,49,50107,165.6,97.8
322,457,Weesp,22,8,19729,111.5,40.5
323,1960,West Betuwe,85,27,51198,166.0,52.7
324,668,West Maas en Waal,31,11,19320,160.5,56.9
325,1969,Westerkwartier,39,12,63375,61.5,18.9
326,1701,Westerveld,15,4,19460,77.1,20.6
327,293,Westervoort,11,7,14973,73.5,46.8
328,1950,Westerwolde,5,5,25796,19.4,19.4
329,1783,Westland,106,38,110357,96.1,34.4
330,98,Weststellingwerf,5,2,25916,19.3,7.7
331,614,Westvoorne,20,5,14728,135.8,33.9
332,189,Wierden,19,3,24440,77.7,12.3
333,296,Wijchen,64,34,41124,155.6,82.7
334,1696,Wijdemeren,13,6,24360,53.4,24.6
335,352,Wijk bij Duurstede,15,8,23910,62.7,33.5
336,294,Winterswijk,9,2,28865,31.2,6.9
337,873,Woensdrecht,13,4,21883,59.4,18.3
338,632,Woerden,77,34,52294,147.2,65.0
339,880,Wormerland,25,14,16299,153.4,85.9
340,351,Woudenberg,18,7,13362,134.7,52.4
341,479,Zaanstad,172,82,156711,109.8,52.3
342,297,Zaltbommel,29,14,28901,100.3,48.4
343,473,Zandvoort,24,8,17116,140.2,46.7
344,50,Zeewolde,15,6,22656,66.2,26.5
345,355,Zeist,76,26,64932,117.0,40.0
346,299,Zevenaar,41,27,43740,93.7,61.7
347,637,Zoetermeer,64,31,125283,51.1,24.7
348,638,Zoeterwoude,6,2,8611,69.7,23.2
349,1892,Zuidplas,45,16,43894,102.5,36.5
350,879,Zundert,37,15,21821,169.6,68.7
351,301,Zutphen,33,12,47942,68.8,25.0
352,1896,Zwartewaterland,74,27,22690,326.1,119.0
353,642,Zwijndrecht,32,11,44741,71.5,24.6
354,193,Zwolle,170,41,128831,132.0,31.8
