;Gemeente;30/03/2020;29/03/2020;28/03/2020;27/03/2020;26/03/2020;25/03/2020;24/03/2020;23/03/2020;22/03/2020;21/03/2020;20/03/2020;19/03/2020;18/03/2020;17/03/2020;16/03/2020;15/03/2020;14/03/2020;13/03/2020;12/03/2020;11/03/2020;10/03/2020;09/03/2020;08/03/2020
131;Heerlen;87;78;75;68;63;53;46;29;24;19;18;15;14;8;6;5;4;2;2;1;0;0;0
132;Heeze-Leende;16;16;12;12;10;10;7;7;7;4;4;4;4;3;2;1;1;1;1;1;0;0;0
133;Heiloo;17;16;13;13;10;9;8;6;6;4;3;3;3;3;3;2;2;2;0;0;0;0;0
134;Hellendoorn;14;12;10;8;7;7;6;5;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2
135;Hellevoetsluis;15;15;15;10;7;5;5;5;4;4;4;1;1;1;1;1;1;1;1;0;0;0;0
136;Helmond;105;100;91;75;66;63;55;49;38;32;26;22;20;19;17;17;17;16;14;12;11;7;5
137;Hendrik-Ido-Ambacht;6;6;5;5;5;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;Hengelo;40;32;25;23;21;17;16;15;15;13;5;4;3;3;3;0;0;0;0;0;0;0;0
139;Het Hogeland;9;9;7;7;6;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;Heumen;20;19;16;15;15;12;11;9;7;7;7;6;5;3;2;2;0;0;0;0;0;0;0
141;Heusden;46;44;39;37;25;20;19;16;15;11;7;6;5;4;4;4;4;4;2;2;1;1;1
142;Hillegom;6;5;4;3;3;3;3;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0
143;Hilvarenbeek;13;13;12;10;10;10;8;7;6;5;4;4;4;4;4;5;5;5;3;1;0;0;0
144;Hilversum;25;24;24;24;18;16;7;7;7;7;5;3;3;3;0;0;0;0;0;0;0;0;0
145;Hoeksche Waard;62;60;55;51;43;36;31;23;21;17;17;12;8;6;4;2;1;1;1;2;2;2;2
146;Hof van Twente;18;17;17;14;8;6;5;5;5;4;3;3;3;1;1;1;0;0;0;0;0;0;0
147;Hollands Kroon;25;23;18;17;14;10;10;8;7;6;3;3;1;0;0;0;0;0;0;0;0;0;0
148;Hoogeveen;13;12;9;8;7;7;6;5;5;5;4;3;3;2;2;2;2;1;1;0;0;0;0
149;Hoorn;23;22;20;17;15;14;12;11;9;8;3;2;1;1;1;0;0;0;0;0;0;0;0
150;Horst aan de Maas;34;32;27;25;20;18;17;16;13;13;11;10;8;8;5;3;3;2;0;0;0;0;0
151;Houten;58;56;52;47;43;37;29;25;23;19;17;17;14;13;13;13;13;13;13;13;13;13;13
152;Huizen;13;13;13;13;8;7;3;3;3;3;3;3;2;1;1;1;1;1;1;2;1;1;1
153;Hulst;6;3;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;IJsselstein;38;34;31;26;23;18;16;16;13;11;8;8;7;6;4;2;1;1;1;1;1;1;1
155;Kaag en Braassem;8;6;6;5;5;5;4;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
156;Kampen;69;62;55;45;41;30;20;17;14;12;5;2;2;1;0;0;0;0;0;0;0;0;0
157;Kapelle;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0
158;Katwijk;24;21;19;15;10;7;6;6;6;5;3;2;2;1;1;1;1;1;1;0;0;0;0
159;Kerkrade;36;34;32;28;26;21;17;8;8;6;5;3;3;3;2;2;1;0;0;0;0;0;0
160;Koggenland;10;10;9;6;6;5;4;4;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0
161;Krimpen aan den IJssel;15;13;12;7;7;6;3;3;3;2;2;2;1;1;1;1;1;1;1;0;0;0;0
162;Krimpenerwaard;38;33;30;24;19;16;12;11;11;9;7;5;4;4;4;4;3;3;3;3;1;1;1
163;Laarbeek;45;44;39;33;24;19;17;13;11;8;6;4;2;1;1;1;1;1;0;0;0;0;0
164;Landerd;50;47;44;42;34;25;25;23;22;20;20;18;16;14;10;5;5;4;2;2;1;2;2
165;Landgraaf;32;29;29;28;25;21;18;11;10;9;7;7;7;4;4;4;4;2;1;0;0;0;0
166;Landsmeer;8;8;7;7;7;6;6;5;5;4;4;3;3;3;3;3;2;2;2;0;0;0;0
167;Langedijk;16;15;14;14;13;12;12;5;4;4;4;4;4;4;4;4;3;3;1;1;0;0;0
168;Lansingerland;49;47;45;34;28;25;24;20;20;16;14;13;10;7;5;5;4;4;4;4;4;3;2
169;Laren;8;8;8;8;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;Leeuwarden;23;23;20;19;15;12;10;10;8;8;5;5;4;3;2;1;1;1;1;0;0;0;0
171;Leiden;39;37;35;30;28;21;20;16;16;16;14;12;11;8;8;4;4;4;1;1;1;0;0
172;Leiderdorp;7;7;5;4;4;3;2;2;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0
173;Leidschendam-Voorburg;24;21;21;18;17;14;13;10;10;9;7;6;6;5;4;3;3;3;2;2;2;1;1
174;Lelystad;34;31;31;29;27;26;24;21;19;15;15;13;12;10;8;7;5;3;1;1;0;0;0
175;Leudal;52;45;41;37;32;29;26;23;22;20;16;13;11;8;7;6;6;4;4;3;2;1;0
176;Leusden;19;19;17;16;13;13;9;7;6;6;4;4;3;1;1;0;0;0;0;0;0;0;0
177;Lingewaard;28;27;25;22;14;14;11;10;9;6;6;5;4;3;3;3;3;2;2;2;2;2;2
178;Lisse;4;4;3;3;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;Lochem;14;14;14;11;8;6;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0
180;Loon op Zand;31;31;29;25;21;20;20;17;16;14;13;11;9;8;7;7;7;7;6;7;7;7;7
181;Lopik;17;17;13;13;12;11;10;9;6;4;3;3;3;2;1;0;0;0;0;0;0;0;0
182;Loppersum;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;Losser;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
184;Maasdriel;12;11;8;6;5;3;3;2;2;2;2;1;1;1;0;0;0;0;0;0;1;1;1
185;Maasgouw;13;13;13;13;12;10;9;9;8;7;5;5;4;3;2;2;1;0;0;0;0;0;0
186;Maassluis;15;14;14;11;8;7;7;6;5;3;2;2;2;1;1;1;1;0;0;0;0;0;0
187;Maastricht;185;173;162;126;118;112;94;60;59;57;56;42;41;33;24;21;16;10;8;8;7;6;4
188;Medemblik;22;19;14;8;6;4;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
189;Meerssen;13;12;10;8;8;8;8;3;3;2;2;2;2;1;1;0;0;0;0;0;0;0;0
190;Meierijstad;243;227;207;195;168;149;139;127;119;95;81;72;60;49;42;34;30;25;18;13;11;10;4
191;Meppel;8;8;6;4;3;3;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
192;Middelburg;14;13;10;9;8;7;6;6;5;4;3;3;2;1;1;0;0;0;0;0;0;0;0
193;Midden-Delfland;4;4;4;3;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0
194;Midden-Drenthe;5;5;4;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
195;Midden-Groningen;8;6;6;5;5;2;2;2;2;2;2;2;2;1;1;1;0;0;0;0;0;0;0
196;Mill en Sint Hubert;11;11;9;7;5;5;5;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0
197;Moerdijk;12;10;10;6;5;5;4;3;3;3;3;2;1;1;1;1;1;1;0;0;0;0;0
198;Molenlanden;23;19;18;17;16;16;13;11;11;11;11;9;7;3;2;1;0;0;0;0;0;0;0
199;Montferland;10;10;6;5;4;3;3;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0
200;Montfoort;15;14;12;11;9;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;Mook en Middelaar;8;8;8;5;5;5;5;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
202;Neder-Betuwe;33;31;20;16;13;11;11;9;9;5;5;4;4;4;4;4;3;3;1;1;1;1;0
203;Nederweert;27;27;24;21;18;14;11;9;8;7;7;7;7;5;3;3;3;1;0;0;0;0;0
204;Nieuwegein;33;30;25;17;15;12;11;11;9;9;8;6;4;3;1;1;0;0;0;0;0;0;0
205;Nieuwkoop;10;10;8;7;6;6;4;3;3;2;1;1;1;1;1;1;1;1;1;0;0;0;0
206;Nijkerk;18;18;18;15;12;8;8;7;4;4;2;2;2;2;1;0;0;0;0;0;0;0;0
207;Nijmegen;197;178;149;132;122;108;93;79;68;60;55;48;41;31;17;12;9;8;6;4;3;3;2
208;Nissewaard;40;38;37;28;23;19;17;15;15;12;11;7;4;3;1;1;1;1;1;0;0;0;0
209;Noardeast-Fryslân;6;6;4;4;3;3;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
210;Noord-Beveland;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;Noordenveld;5;5;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
212;Noordoostpolder;11;11;10;10;8;5;4;3;3;3;2;2;2;2;2;2;2;0;0;0;0;0;0
213;Noordwijk;17;17;15;10;8;7;6;6;6;3;2;3;2;2;2;2;2;2;2;2;2;2;0
214;Nuenen, Gerwen en Nederwetten;16;14;13;11;10;8;4;4;3;1;1;1;1;1;1;1;1;1;1;1;1;0;0
215;Nunspeet;52;45;43;39;31;29;22;17;13;9;4;3;3;2;2;1;1;1;0;0;0;0;0
216;Oegstgeest;15;13;13;12;9;9;8;7;7;7;6;5;4;4;4;4;4;2;2;2;1;1;1
217;Oirschot;14;14;11;10;8;6;4;3;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0
218;Oisterwijk;27;25;24;23;21;18;16;16;16;15;12;10;10;10;9;6;6;6;5;4;3;3;3
219;Oldambt;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;Oldebroek;30;28;22;19;16;12;8;7;7;6;5;5;5;2;2;1;1;1;0;0;0;0;0
221;Oldenzaal;22;19;18;17;15;13;8;6;6;6;5;3;2;1;1;1;1;0;0;0;0;0;0
222;Olst-Wijhe;9;8;6;6;6;6;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
223;Ommen;10;10;10;7;7;7;6;6;4;4;3;2;2;1;1;1;1;0;0;0;0;0;0
224;Oost Gelre;11;11;8;7;6;6;6;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
225;Oosterhout;44;40;36;31;29;26;23;22;16;13;12;9;9;8;6;5;4;3;1;0;0;0;0
226;Ooststellingwerf;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;Oostzaan;8;7;7;7;7;6;5;5;4;3;3;2;2;1;0;0;0;0;0;0;0;0;0
228;Opmeer;3;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229;Opsterland;7;7;6;6;5;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0
230;Oss;174;154;141;128;100;81;73;65;59;44;35;26;20;14;11;5;4;3;3;2;1;1;1
231;Oude IJsselstreek;10;10;7;5;5;4;4;4;4;4;2;2;2;2;1;0;0;0;0;0;0;0;0
232;Ouder-Amstel;10;9;9;7;7;7;7;5;4;4;3;3;3;2;0;0;0;0;0;0;0;0;0
233;Oudewater;25;21;21;18;12;10;7;4;4;3;2;2;1;1;1;1;0;0;0;0;0;0;0
234;Overbetuwe;61;60;54;51;44;38;33;30;22;20;15;11;9;9;8;6;4;0;0;0;0;0;0
235;Papendrecht;7;7;7;6;6;6;5;5;4;2;2;1;0;0;0;0;0;0;0;0;0;0;0
236;Peel en Maas;140;134;119;107;96;88;79;69;64;63;49;41;36;31;19;14;10;8;4;3;1;0;0
237;Pekela;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0
238;Pijnacker-Nootdorp;29;26;24;23;20;16;14;12;11;11;11;11;11;10;8;7;6;6;5;5;4;2;2
239;Purmerend;63;56;52;48;39;32;23;22;20;14;11;7;4;2;2;2;2;2;1;1;0;0;0
240;Putten;6;6;6;6;6;5;3;3;3;3;3;2;2;2;2;0;0;0;0;0;0;0;0
241;Raalte;20;17;15;13;12;10;6;5;5;3;3;3;3;3;2;1;1;1;1;0;0;0;0
